host_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,security_deposit,cleaning_fee,guests_included,extra_people,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month,host_sinceyear,property_type_Hotel,room_type_Private room,price
5.0,43.76876,11.2635,5,1.0,2.0,0.0,35.0,2,15.0,20,50,80,355,318,15,88.0,3.17,2011.0,0,0,90.0
5.0,43.77002,11.24613,3,1.0,1.0,0.0,10.0,2,10.0,4,18,48,316,313,36,94.0,3.1,2011.0,0,1,60.0
3.0,43.76918,11.25693,2,1.0,1.0,0.0,0.0,1,0.0,15,44,73,331,120,8,88.0,1.18,2011.0,0,0,70.0
184.0,43.77134,11.26015,3,1.0,1.0,300.0,0.0,1,0.0,0,0,13,34,3,0,87.0,0.03,2012.0,0,0,110.0
5.0,43.77583,11.25489,10,2.0,3.0,0.0,60.0,4,20.0,12,32,58,313,400,47,93.0,3.92,2013.0,0,0,156.0
184.0,43.76903,11.2647,10,2.0,4.0,300.0,0.0,1,0.0,9,14,39,284,34,18,91.0,0.35,2012.0,0,0,148.0
2.0,43.77184000000001,11.25731,2,1.0,1.0,0.0,35.0,1,0.0,0,22,45,296,99,9,96.0,0.99,2011.0,0,1,65.0
12.0,43.77473,11.25154,5,1.0,2.0,150.0,62.0,4,20.0,16,41,71,346,39,0,96.0,0.4,2011.0,0,0,132.0
8.0,43.77451,11.23184,6,1.5,2.0,200.0,50.0,1,0.0,14,44,74,331,211,26,93.0,2.11,2011.0,0,0,75.0
3.0,43.7734,11.24495,2,1.0,1.0,0.0,0.0,1,10.0,4,34,64,308,148,2,95.0,1.64,2011.0,0,1,55.0
1.0,43.74831,11.23561,4,1.0,2.0,100.0,20.0,2,10.0,1,16,46,319,170,28,93.0,1.72,2011.0,0,0,50.0
1.0,43.79014,11.2376,3,1.0,1.0,0.0,10.0,1,20.0,10,40,70,345,644,70,97.0,6.43,2011.0,0,1,33.0
4.0,43.76476,11.25891,2,1.0,1.0,0.0,25.0,1,20.0,18,48,78,258,336,2,94.0,3.33,2011.0,0,1,79.0
1.0,43.78075,11.24397,3,2.0,1.0,0.0,30.0,2,25.0,5,26,56,324,478,39,95.0,4.75,2011.0,0,1,50.0
10.0,43.77622,11.25364,2,1.0,1.0,0.0,35.0,2,15.0,21,51,81,353,7,0,86.0,0.1,2010.0,0,1,85.0
3.0,43.77347,11.24486,2,1.0,1.0,0.0,0.0,1,10.0,10,40,70,317,197,14,94.0,2.21,2011.0,0,1,45.0
2.0,43.74121,11.25806,2,1.0,1.0,0.0,0.0,1,0.0,27,57,87,362,105,1,90.0,1.05,2011.0,0,1,65.0
3.0,43.79056,11.2322,2,1.0,1.0,0.0,35.0,1,10.0,9,39,69,342,190,45,88.0,1.92,2011.0,0,1,23.0
3.0,43.79122,11.23225,2,1.0,1.0,0.0,0.0,1,10.0,20,50,80,353,231,41,87.0,4.55,2011.0,0,1,23.0
4.0,43.79004000000001,11.24322,2,1.0,1.0,0.0,35.0,2,0.0,18,41,71,346,7,0,83.0,0.07,2011.0,0,1,55.0
3.0,43.77046,11.24955,1,1.0,1.0,100.0,50.0,1,0.0,18,19,19,290,48,6,97.0,0.64,2011.0,0,0,40.0
1.0,43.7756,11.24529,2,2.0,1.0,0.0,35.0,1,10.0,0,0,0,0,102,0,95.0,1.05,2011.0,0,1,50.0
7.0,43.77154,11.26335,9,2.0,3.0,0.0,40.0,6,10.0,11,36,60,296,21,3,97.0,0.24,2011.0,0,0,190.0
184.0,43.76877,11.26298,4,1.0,1.0,300.0,0.0,1,0.0,0,0,0,34,1,0,100.0,0.01,2012.0,0,0,120.0
184.0,43.77689,11.26433,4,1.0,1.0,300.0,0.0,1,0.0,1,1,1,39,2,0,100.0,0.02,2012.0,0,0,100.0
4.0,43.78966,11.24341,2,1.0,1.0,0.0,35.0,1,0.0,26,54,84,359,4,0,100.0,0.04,2011.0,0,1,55.0
2.0,43.76283,11.24341,4,1.0,2.0,0.0,30.0,2,15.0,14,31,49,62,5,3,96.0,0.21,2011.0,0,0,54.0
184.0,43.7759,11.25286,8,2.0,3.0,300.0,0.0,1,0.0,7,30,60,300,54,7,90.0,0.56,2012.0,0,0,170.0
17.0,43.7762,11.25572,2,1.0,1.0,0.0,35.0,1,10.0,5,31,58,333,554,56,94.0,5.68,2011.0,0,1,62.0
5.0,43.77168,11.25142,2,1.0,1.0,0.0,15.0,2,15.0,0,0,0,53,252,6,93.0,2.53,2011.0,0,1,55.0
4.0,43.78979,11.24315,2,1.0,1.0,0.0,35.0,2,15.0,27,57,87,362,11,1,96.0,0.11,2011.0,0,0,48.0
2.0,43.76921,11.24463,4,1.0,1.0,0.0,25.0,1,10.0,17,47,77,167,232,20,79.0,2.34,2011.0,0,0,35.0
3.0,43.78031,11.24346,2,1.0,1.0,0.0,15.0,1,15.0,23,53,83,358,65,3,93.0,0.83,2011.0,0,1,19.0
6.0,43.77352,11.24408,2,1.0,1.0,0.0,35.0,1,0.0,6,28,55,316,185,64,98.0,1.89,2011.0,0,0,75.0
6.0,43.77435,11.24407,2,1.0,1.0,0.0,35.0,1,0.0,2,23,51,301,220,42,98.0,2.43,2011.0,0,0,58.0
6.0,43.77419,11.2471,3,1.0,1.0,0.0,35.0,1,0.0,7,26,53,319,464,93,96.0,4.8,2011.0,0,0,69.0
36.0,43.7746,11.25562,4,1.0,1.0,0.0,60.0,4,0.0,6,32,62,254,1,0,60.0,0.04,2010.0,0,0,100.0
6.0,43.76712,11.25377,3,1.0,1.0,0.0,35.0,1,0.0,4,21,49,314,327,61,96.0,3.35,2011.0,0,0,68.0
2.0,43.78979,11.2567,2,1.0,1.0,0.0,0.0,1,16.0,7,24,51,51,305,96,94.0,5.29,2011.0,0,1,34.0
4.0,43.79011,11.24366,2,1.0,1.0,0.0,35.0,2,15.0,25,53,83,358,3,0,80.0,0.03,2011.0,0,0,48.0
1.0,43.77381,11.24664,4,1.5,2.0,0.0,0.0,2,0.0,5,5,23,261,102,20,92.0,1.05,2011.0,0,0,40.0
2.0,43.7649,11.24298,2,1.0,1.0,0.0,80.0,1,0.0,0,0,0,233,48,24,94.0,0.63,2011.0,0,0,100.0
1.0,43.76549,11.25805,4,1.0,1.0,150.0,70.0,2,20.0,19,49,79,354,5,1,85.0,0.08,2011.0,0,0,95.0
1.0,43.73138,11.23123,2,1.0,1.0,98.0,35.0,2,0.0,20,49,78,168,19,1,100.0,0.37,2011.0,0,1,98.0
